Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
AAPB,GraniteShares 2x Long AAPL Daily ETF,G,N,N,100,Y,N
AAPD,Direxion Daily AAPL Bear 1X Shares,G,N,N,100,Y,N
AAPU,Direxion Daily AAPL Bull 2X Shares,G,N,N,100,Y,N
